waste,resource
Waste heat,Process heat
Waste heat,Heat
Fuel gas,Fuel
Waste heat,Process heat
Waste heat,Heat
Steam,Process heat
Electricity,Process energy
Waste heat,Heat
Waste heat,Process heat
Waste heat,Heat
Electricity,Process energy
"Sea and well water, condensing vapour",Water
Vapour and demineralised water,Process heat
Mill scales,Raw material for Cement production
Exhaust gas,Process heat
Demineralised water,Water
BFS,Fertiliser
BFS,Raw material for Glass and glass-ceramic production
BFS,Removal or retention of phosphorous from wastewater
BFS/BOSF,Raw material for Marine embarkments
BFS,Raw material for Production of bricks
BOFS as aggregate,Raw material for Production of concrete
BFS,Raw material for Production of refractories
Refractories,Raw materials
BOSF,Paving
BFS/BOSF,Road foundations
BFS,Raw material for Rock wool production
Mill scales,Raw material for Steelworks
Waste heat,Heat
Waste coolant,Cooling
Electricity,Process energy
Electricity,Process energy
Electricity,Process energy
Electricity,Process energy
Electricity,Process energy
Fly ash,Raw material for Glass and glass-ceramic production
Fly ash,Raw material for Production of bricks
Marc and dregs,Raw material for Distilleries
