donor,receiver,P_wastes,P_resources,G_waste,G_resource
ND - Olive oil production,ND - Agroindustry,Oil mill waste water,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,olive mill wastewater,high-quality fertilizer
ND - Olive oil production,ND - Agroindustry,Oil mill waste water,Fertilizer,olive mill wastewater,organo-mineral fertilizer
ND - Olive oil production,ND - Road construction,Oil mill waste water,Raw materials,olive mill wastewater,secondary raw materials
ND - Olive oil production,Enipower power station,Oil mill waste water,Fuel,palm oil mill effluent,biofuels
ND - Olive oil production,Enipower power station,Oil mill waste water,Fuel,palm oil mill effluent,gaseous fuel
ND - Olive oil production,ND - Agroindustry,Oil mill waste water,Fertilizer,palm oil mill effluent,phosphorus
ND - Power plant,ND - Agroindustry,Fly ash,Fertilizer,power plant ash,phosphorus
ND - Power plant,Taranto,Fly ash,Heat,power plant ash,heat
ND - Power plant,ND - Agroindustry,Fly ash,Fertiliser;Fertilizer,power plant ash,fertilizer
ND - Power plant,Enipower power station,Fly ash,Fuel,ash waste,biofuels
ND - Power plant,Enipower power station,Fly ash,Fuel,coal gasification fly ash,biofuels
ND - Power plant,ND - Construction materials production,Fly ash,Raw material for Construction materials production,biomass fly ash,construction materials
ND - Power plant,Enipower power station,Fly ash,Fuel,dry ash,biofuels
ND - Power plant,ND - Agroindustry,Fly ash,Fertiliser;Fertilizer,wood ash,fertilizer
ND - Power plant,ND - Agroindustry,Fly ash,Fertiliser;Fertilizer,fly ash,fertilizer
ND - Power plant,ND - Road construction,Fly ash,Paving,fly ash,asphalt concrete
ND - Power plant,ND - Agroindustry,Fly ash,Soil quality improvement and fertiliser,fly ash,soil improver
ND - Power plant,ND - Agroindustry,Fly ash,Fertilizer,fly ash,fertilizer substrate
ND - Power plant,ND - Construction materials production,Fly ash,Raw material for Construction materials production,fly ash,construction materials
ND - Power plant,ND - Road construction,Fly ash,Paving,fly ash,pavers
ND - Power plant,CEMENTIR,Fly ash,Raw material for Cement production,fly ash,feedstock for cement clinker production
ND - Power plant,ND - Road construction,Fly ash,Raw material for Road construction,fly ash,road materials
ND - Power plant,ND - Road construction,Fly ash,Paving,fly ash,paving mixes
ND - Power plant,Enipower power station,Fly ash,Fuel,fly ash,biofuels
ND - Power plant,ND - Agroindustry,Fly ash,Fertiliser;Fertilizer,fly ash,bio-fertilizer
ND - Electricity production - Organic Rankine Cycle,ND - Agroindustry,Electricity,Fertilizer,energy consumption,biofertilizer
ND - Electricity production - Organic Rankine Cycle,Enipower power station,Electricity,Fuel,energy consumption,biofuels
ND - Electricity production - Organic Rankine Cycle,Enipower power station,Electricity,Fuel,energy,energy resources
