donor,receiver,P_wastes,P_resources,G_waste,G_resource
ENI refinery,ND - Agroindustry,Fuel oil;Fuel gas,Fertilizer,fossil fuel,biochar
ENI refinery,ND - Road construction,Fuel oil;Fuel gas,Raw materials,fossil fuel,chemical products
ENI refinery,Enipower power station,Fuel oil;Fuel gas,Fuel,fossil fuel,crude oil
ENI refinery,Enipower power station,Fuel oil;Fuel gas,Fuel,fossil fuel,biofuels
ENI refinery,Enipower power station,Fuel oil;Fuel gas,Fuel,fossil fuel,gas
ENI refinery,ND - Agroindustry,Fuel oil;Fuel gas,Fertilizer,fossil fuel,biogas
ENI refinery,Enipower power station,Fuel oil;Fuel gas,Fuel,fossil fuel,renewable fuel
ENI refinery,Enipower power station,Fuel oil;Fuel gas,Fuel,fossil fuel,energy efficiency
ENI refinery,ND - Agroindustry,Waste heat,Fertilizer,energy waste,biogas
ENI refinery,ND - Agroindustry,Waste heat,Fertilizer,high-calorific waste,compost
ENI refinery,ND - Agroindustry,Waste heat,Fertilizer,high-calorific waste,biogas
ENI refinery,ND - Road construction,Waste heat,Raw materials,high-calorific waste,recycled materials
ENI refinery,ND - Agroindustry,Waste heat,Fertilizer,waste heat,biogas
ENI refinery,ND - Agroindustry,Waste heat,Fertilizer,waste carbon,ammonia
ENI refinery,ND - Road construction,Waste heat,Raw materials,waste,materials
ENI refinery,ND - Agroindustry,Waste heat,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,waste,fertilizer
ENI refinery,ND - Road construction,Waste heat,Raw materials,waste,chemical products
ENI refinery,Enipower power station,Waste heat,Water,waste,hot water
ENI refinery,ENI refinery,Waste heat,Water,waste,hot water
ENI refinery,Taranto,Waste heat,Heat,waste,hot water
ILVA,ND - Road construction,Exhaust gas,Raw materials,off-gases,byproducts
ILVA,ND - Road construction,Exhaust gas,Raw materials,flue gas,byproducts
ILVA,Enipower power station,Exhaust gas,Fuel,flue gas,biofuels
ILVA,Enipower power station,Exhaust gas,Fuel,flue gas,biodiesel
ILVA,ND - Agroindustry,Exhaust gas,Fertilizer,flue gas,biogas
ILVA,ND - Agroindustry,Exhaust gas,Fertilizer,odor emission,biogas
ILVA,ND - Agroindustry,Exhaust gas,Fertilizer,odor emission,compost
ILVA,ND - Agroindustry,Exhaust gas,Fertilizer,carbon monoxide,biogas
ILVA,Enipower power station,Exhaust gas,Fuel,carbon monoxide,biofuels
ILVA,Enipower power station,Exhaust gas,Fuel,carbon monoxide,biodiesel
ILVA,Enipower power station,Exhaust gas,Fuel,smoke,value-added fuels
ILVA,ND - Agroindustry,Exhaust gas,Fertilizer,smoke,biochar
ILVA,Enipower power station,Exhaust gas,Fuel,smoke,solid fuel
ILVA,ND - Agroindustry,Exhaust gas,Fertilizer,nitrogen oxides,ammonia
ILVA,ENI refinery,Exhaust gas,Process heat,nitrogen oxides,heat
ILVA,ILVA,Exhaust gas,Process heat,nitrogen oxides,heat
ILVA,Edison power station,Exhaust gas,Process heat,nitrogen oxides,heat
ILVA,Taranto,Exhaust gas,Cooling;Heat,nitrogen oxides,heat
ILVA,ND - Electricity production - Organic Rankine Cycle,Exhaust gas,Process heat,nitrogen oxides,heat
ILVA,Enipower power station,Exhaust gas,Water,nitrogen oxides,water
ILVA,ENI refinery,Exhaust gas,Water,nitrogen oxides,water
ILVA,Enipower power station,Exhaust gas,Fuel,nitrogen oxides,gas
ILVA,ND - Road construction,Exhaust gas,Raw materials,nitrogen oxides,materials
ILVA,Enipower power station,Exhaust gas,Fuel,nitrogen oxides,power
ILVA,Enipower power station,Exhaust gas,Fuel,nitrogen oxides,biofuels
ILVA,ND - Agroindustry,Exhaust gas,Fertilizer,nitrogen oxides,biogas
ILVA,Enipower power station,Exhaust gas,Fuel,nitrogen oxides,biodiesel
ILVA,Enipower power station,Waste heat;Waste coolant,Fuel,waste oil,biodiesel
ILVA,ND - Road construction,Waste heat;Waste coolant,Raw materials,waste oil,chemical products
ILVA,Enipower power station,Waste heat;Waste coolant,Fuel,waste oil,crude oil
ILVA,ND - Road construction,Waste heat;Waste coolant,Raw materials,waste oil,recycled materials
ILVA,ND - Agroindustry,Waste heat,Fertilizer,energy waste,biogas
ILVA,ND - Agroindustry,Waste heat,Fertilizer,high-calorific waste,compost
ILVA,ND - Agroindustry,Waste heat,Fertilizer,high-calorific waste,biogas
ILVA,ND - Road construction,Waste heat,Raw materials,high-calorific waste,recycled materials
ILVA,ND - Agroindustry,Waste heat;Waste coolant,Fertilizer,waste heat,biogas
ILVA,ND - Agroindustry,Waste heat,Fertilizer,waste carbon,ammonia
ILVA,ND - Road construction,Waste heat,Raw materials,waste,materials
ILVA,ND - Agroindustry,Waste heat,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,waste,fertilizer
ILVA,ND - Road construction,Waste heat,Raw materials,waste,chemical products
ILVA,Enipower power station,Waste heat,Water,waste,hot water
ILVA,ENI refinery,Waste heat,Water,waste,hot water
ILVA,Taranto,Waste heat,Heat,waste,hot water
ILVA,Enipower power station,Refractories,Fuel;Water,alumina,hydrogen
ILVA,ENI refinery,Refractories,Water,alumina,hydrogen
ILVA,ENI refinery,Refractories,Process heat,alumina,heat
ILVA,ILVA,Refractories,Process heat,alumina,heat
ILVA,Edison power station,Refractories,Process heat,alumina,heat
ILVA,Taranto,Refractories,Cooling;Heat,alumina,heat
ILVA,ND - Electricity production - Organic Rankine Cycle,Refractories,Process heat,alumina,heat
ILVA,Enipower power station,Waste coolant,Fuel,sludge waste,bioenergy
ILVA,ND - Agroindustry,Waste coolant,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,sludge waste,bio-fertilizer
ILVA,ND - Agroindustry,Waste coolant,Fertilizer,sludge waste,biogas
ILVA,ND - Agroindustry,Waste coolant,Fertiliser;Fertilizer,sludge waste,phosphorus
ILVA,ND - Agroindustry,Waste coolant,Fertiliser;Soil quality improvement and fertiliser,sludge waste,organic fertilisers
ILVA,ND - Agroindustry,Waste coolant,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,sludge waste,fertiliser
ILVA,ND - Agroindustry,Waste coolant,Fertilizer,sludge waste,ammonia
ILVA,ND - Agroindustry,Waste coolant,Fertilizer,sludge waste,biochar
ILVA,ND - Agroindustry,Waste coolant,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,sludge waste,soil nitrogen
ILVA,ND - Agroindustry,Waste coolant,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,sludge waste,fertilizer
ILVA,ND - Agroindustry,Waste coolant,Fertilizer,process waste,biogas
ILVA,Enipower power station,Waste coolant,Fuel,process waste,ethanol
ILVA,ND - Agroindustry,Waste coolant,Fertilizer,liquid waste,compost
ILVA,ND - Agroindustry,Waste coolant,Fertilizer,liquid waste,biochar
ILVA,Enipower power station,Waste coolant,Fuel,liquid waste,crude oil
ILVA,Enipower power station,Waste coolant,Fuel,liquid waste,ethanol
ILVA,ND - Road construction,Waste coolant,Raw materials,liquid waste,materials
ILVA,ND - Road construction,Waste coolant,Raw materials,liquid waste,byproducts
ILVA,Enipower power station,Waste coolant,Fuel,liquid waste,biofuels
ILVA,ND - Road construction,Waste coolant,Raw materials,fluid waste,recovered materials
ILVA,Enipower power station,Waste coolant,Water,fluid waste,treated water
ILVA,ENI refinery,Waste coolant,Water,fluid waste,treated water
ILVA,ND - Production of refractories,Waste coolant;BF slag,Raw material for Production of refractories,slag waste,refractory materials
ILVA,Enipower power station,Waste coolant;BF slag,Fuel;Water,slag waste,hydrogen
ILVA,ENI refinery,Waste coolant;BF slag,Water,slag waste,hydrogen
ILVA,Enipower power station,Mill scales,Fuel,scale,biodiesel
ILVA,Enipower power station,Mill scales,Fuel,scale,oil
ILVA,ND - Road construction,Mill scales,Raw materials,scale,minerals
ILVA,ND - Agroindustry,Mill scales,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,scale,fertiliser
ILVA,Enipower power station,Mill scales,Fuel,scale,biofuels
ILVA,ND - Glass and glass-ceramic production,Mill scales,Raw material for Glass and glass-ceramic production,mill scale,iron-rich glass-ceramics
ILVA,ND - Road construction,BF slag,Paving,slag,concrete
ILVA,ND - Production of concrete,BF slag,Raw material for Production of concrete,slag,concrete
ILVA,CEMENTIR,BF slag,Raw material for Cement production,slag,feedstock for cement clinker production
ILVA,ND - Production of concrete,BF slag,Raw material for Production of concrete,slag,feedstock for cement clinker production
ILVA,ND - Road construction,BF slag,Raw materials,slag,minerals
ILVA,ND - Road construction,BF slag,Raw materials,slag,recycled materials
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,slag,construction materials
ILVA,ND - Road construction,BF slag,Raw materials,slag,construction materials
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,slag,building materials
ILVA,ND - Road construction,BF slag,Raw materials,slag,building materials
ILVA,ND - Production of refractories,BF slag,Raw material for Production of refractories,ferrotitanium slag,refractory materials
ILVA,ND - Agroindustry,BF slag,Soil quality improvement and fertiliser;Fertilizer,desulfurization slag,soil improver
ILVA,ND - Road construction,BF slag,Paving,desulfurization slag,pavement materials
ILVA,CEMENTIR,BF slag,Raw material for Cement production,BOF slag powder,cement
ILVA,ND - Production of refractories,BF slag,Raw material for Production of refractories,ferrous slag,ceramic materials
ILVA,ND - Glass and glass-ceramic production,BF slag,Raw material for Glass and glass-ceramic production,ferrous slag,ceramic materials
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,ferrous slag,building materials
ILVA,ND - Road construction,BF slag,Raw materials,ferrous slag,building materials
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,copper slag,building materials
ILVA,ND - Road construction,BF slag,Raw materials,copper slag,building materials
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,copper slag,construction materials
ILVA,ND - Road construction,BF slag,Raw materials,copper slag,construction materials
ILVA,ND - Road construction,BF slag,Paving,copper slag,concrete
ILVA,ND - Production of concrete,BF slag,Raw material for Production of concrete,copper slag,concrete
ILVA,ND - Agroindustry,BF slag,Fertiliser;Fertilizer,iron and steel slag,phosphorus
ILVA,ND - Road construction,BF slag,Paving,steelmaking slag,concrete
ILVA,ND - Production of concrete,BF slag,Raw material for Production of concrete,steelmaking slag,concrete
ILVA,ND - Production of bricks,BF slag,Raw material for Production of bricks,steelmaking slag,bricks
ILVA,ND - Agroindustry,BF slag,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,steelmaking slag,fertilizer
ILVA,ND - Agroindustry,BF slag,Fertilizer,steelmaking slag,zeolite
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,steelmaking slag,civil construction materials
ILVA,ND - Road construction,BF slag,Raw material for Road construction,steelmaking slag,recycled road materials
ILVA,ND - Agroindustry,BF slag,Fertilizer,steelmaking slag,biochar
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,steelmaking slag,building materials
ILVA,ND - Road construction,BF slag,Raw materials,steelmaking slag,building materials
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,steelmaking slag,construction materials
ILVA,ND - Road construction,BF slag,Raw materials,steelmaking slag,construction materials
ILVA,ND - Agroindustry,BF slag,Fertilizer,steelmaking slag,biogas
ILVA,ND - Road construction,BF slag,Paving,steelmaking slag,asphalt concrete
ILVA,ND - Agroindustry,BF slag,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,steelmaking slag,phosphorous fertiliser
ILVA,ND - Production of concrete,BF slag,Raw material for Production of concrete,steelmaking slag,concrete aggregate
ILVA,CEMENTIR,BF slag,Raw material for Cement production,steelmaking slag,cement
ILVA,ND - Road construction,BF slag,Paving,blast furnace slag,concrete
ILVA,ND - Production of concrete,BF slag,Raw material for Production of concrete,blast furnace slag,concrete
ILVA,ND - Production of bricks,BF slag,Raw material for Production of bricks,blast furnace slag,bricks
ILVA,ND - Agroindustry,BF slag,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,blast furnace slag,fertilizer
ILVA,ND - Agroindustry,BF slag,Fertilizer,blast furnace slag,zeolite
ILVA,ND - Road construction,BF slag,Paving,blast furnace slag,pavement granules
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,blast furnace slag,value-added construction materials
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,blast furnace slag,building materials
ILVA,ND - Road construction,BF slag,Raw materials,blast furnace slag,building materials
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,blast furnace slag,construction materials
ILVA,ND - Road construction,BF slag,Raw materials,blast furnace slag,construction materials
ILVA,ND - Glass and glass-ceramic production,BF slag,Raw material for Glass and glass-ceramic production,blast furnace slag,transparent glass
ILVA,CEMENTIR,BF slag,Raw material for Cement production,carbonated slag,cement
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,ladle slag,building materials
ILVA,ND - Road construction,BF slag,Raw materials,ladle slag,building materials
ILVA,ND - Production of concrete,BF slag,Raw material for Production of concrete,EAF slag,concrete aggregate
ILVA,CEMENTIR,BF slag,Raw material for Cement production,EAF slag,cement
ILVA,ND - Road construction,BF slag,Paving,EAF slag,concrete
ILVA,ND - Production of concrete,BF slag,Raw material for Production of concrete,EAF slag,concrete
ILVA,ND - Agroindustry,BF slag,Fertilizer,salt slag,ammonia
ILVA,ND - Road construction,BF slag,Paving,lithium slag,concrete
ILVA,ND - Production of concrete,BF slag,Raw material for Production of concrete,lithium slag,concrete
ILVA,ND - Production of bricks,BF slag,Raw material for Production of bricks,lithium slag,bricks
ILVA,ND - Agroindustry,BF slag,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,lithium slag,fertilizer
ILVA,ND - Road construction,BF slag,Raw materials,lithium slag,valuable materials
Edison power station,Enipower power station,Waste heat,Fuel,waste oil,biodiesel
Edison power station,ND - Road construction,Waste heat,Raw materials,waste oil,chemical products
Edison power station,Enipower power station,Waste heat,Fuel,waste oil,crude oil
Edison power station,ND - Road construction,Waste heat,Raw materials,waste oil,recycled materials
Edison power station,ND - Agroindustry,Waste heat,Fertilizer,energy waste,biogas
Edison power station,ND - Agroindustry,Waste heat,Fertilizer,high-calorific waste,compost
Edison power station,ND - Agroindustry,Waste heat,Fertilizer,high-calorific waste,biogas
Edison power station,ND - Road construction,Waste heat,Raw materials,high-calorific waste,recycled materials
Edison power station,ND - Agroindustry,Waste heat,Fertilizer,waste heat,biogas
Edison power station,ND - Agroindustry,Waste heat,Fertilizer,waste carbon,ammonia
Edison power station,ND - Road construction,Waste heat,Raw materials,waste,materials
Edison power station,ND - Agroindustry,Waste heat,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,waste,fertilizer
Edison power station,ND - Road construction,Waste heat,Raw materials,waste,chemical products
Edison power station,Enipower power station,Waste heat,Water,waste,hot water
Edison power station,ENI refinery,Waste heat,Water,waste,hot water
Edison power station,Taranto,Waste heat,Heat,waste,hot water
Edison power station,Enipower power station,Electricity,Fuel;Water,batteries,hydrogen
Edison power station,ENI refinery,Electricity,Water,batteries,hydrogen
Edison power station,ND - Road construction,Electricity,Raw materials,batteries,metals
Edison power station,ND - Road construction,Electricity,Raw materials,energy consumption,minerals
Edison power station,ND - Agroindustry,Electricity,Fertiliser;Fertilizer,energy consumption,biofertilizer
Edison power station,Enipower power station,Electricity,Fuel,energy consumption,bioenergy
Edison power station,Enipower power station,Electricity,Fuel,energy consumption,biofuels
Edison power station,ND - Road construction,Electricity,Raw materials,household electrical appliances,secondary raw materials
Edison power station,ND - Distilleries,Electricity,Raw material for Distilleries,household electrical appliances,secondary raw materials
Edison power station,ND - Road construction,Electricity,Raw materials,household electrical appliances,metals
Edison power station,Enipower power station,Electricity,Fuel,energy,energy resources
Edison power station,ENI refinery,Electricity,Process energy,energy,energy resources
Edison power station,ILVA,Electricity,Process energy,energy,energy resources
Edison power station,Edison power station,Electricity,Process energy,energy,energy resources
Edison power station,CEMENTIR,Electricity,Process energy,energy,energy resources
Edison power station,EniPower power station,Electricity,Process energy,energy,energy resources
Edison power station,ENI refinery,Electricity,Process energy,energy,usable energy
Edison power station,ILVA,Electricity,Process energy,energy,usable energy
Edison power station,Edison power station,Electricity,Process energy,energy,usable energy
Edison power station,CEMENTIR,Electricity,Process energy,energy,usable energy
Edison power station,EniPower power station,Electricity,Process energy,energy,usable energy
Edison power station,ENI refinery,Electricity,Process energy,energy,energy recovery
Edison power station,ILVA,Electricity,Process energy,energy,energy recovery
Edison power station,Edison power station,Electricity,Process energy,energy,energy recovery
Edison power station,CEMENTIR,Electricity,Process energy,energy,energy recovery
Edison power station,EniPower power station,Electricity,Process energy,energy,energy recovery
Edison power station,ND - Road construction,Electricity,Raw materials,energy,recovered materials
Edison power station,Enipower power station,Electricity,Fuel,energy,energy efficiency
Edison power station,ND - Agroindustry,Electricity,Fertilizer,energy,compost
Edison power station,ND - Road construction,Electricity,Raw materials,electrical and electronic equipment,recycled materials
CEMENTIR,Enipower power station,Waste heat,Fuel,waste oil,biodiesel
CEMENTIR,ND - Road construction,Waste heat,Raw materials,waste oil,chemical products
CEMENTIR,Enipower power station,Waste heat,Fuel,waste oil,crude oil
CEMENTIR,ND - Road construction,Waste heat,Raw materials,waste oil,recycled materials
CEMENTIR,ND - Agroindustry,Waste heat,Fertilizer,energy waste,biogas
CEMENTIR,ND - Agroindustry,Waste heat,Fertilizer,high-calorific waste,compost
CEMENTIR,ND - Agroindustry,Waste heat,Fertilizer,high-calorific waste,biogas
CEMENTIR,ND - Road construction,Waste heat,Raw materials,high-calorific waste,recycled materials
CEMENTIR,ND - Agroindustry,Waste heat,Fertilizer,waste heat,biogas
CEMENTIR,ND - Agroindustry,Waste heat,Fertilizer,waste carbon,ammonia
CEMENTIR,ND - Road construction,Waste heat,Raw materials,waste,materials
CEMENTIR,ND - Agroindustry,Waste heat,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,waste,fertilizer
CEMENTIR,ND - Road construction,Waste heat,Raw materials,waste,chemical products
CEMENTIR,Enipower power station,Waste heat,Water,waste,hot water
CEMENTIR,ENI refinery,Waste heat,Water,waste,hot water
CEMENTIR,Taranto,Waste heat,Heat,waste,hot water
CEMENTIR,ND - Agroindustry,Coal fly ash,Fertilizer,lignite,biogas
CEMENTIR,ND - Road construction,Coal fly ash,Paving,slag,concrete
CEMENTIR,ND - Production of concrete,Coal fly ash,Raw material for Production of concrete,slag,concrete
CEMENTIR,CEMENTIR,Coal fly ash,Raw material for Cement production,slag,feedstock for cement clinker production
CEMENTIR,ND - Production of concrete,Coal fly ash,Raw material for Production of concrete,slag,feedstock for cement clinker production
CEMENTIR,ND - Road construction,Coal fly ash,Raw materials,slag,minerals
CEMENTIR,ND - Road construction,Coal fly ash,Raw materials,slag,recycled materials
CEMENTIR,ND - Construction materials production,Coal fly ash,Raw material for Construction materials production,slag,construction materials
CEMENTIR,ND - Road construction,Coal fly ash,Raw materials,slag,construction materials
CEMENTIR,ND - Construction materials production,Coal fly ash,Raw material for Construction materials production,slag,building materials
CEMENTIR,ND - Road construction,Coal fly ash,Raw materials,slag,building materials
CEMENTIR,ND - Agroindustry,Coal fly ash,Soil quality improvement and fertiliser;Fertilizer,coal-based solid waste,soil improver
CEMENTIR,ND - Agroindustry,Coal fly ash,Soil quality improvement and fertiliser;Fertilizer,coal mine waste,soil improver
CEMENTIR,CEMENTIR,Coal fly ash,Raw material for Cement production,petroleum coke fly ash,cement
CEMENTIR,ND - Agroindustry,Coal fly ash,Fertiliser;Fertilizer,power plant ash,phosphorus
CEMENTIR,ENI refinery,Coal fly ash,Process heat,power plant ash,heat
CEMENTIR,ILVA,Coal fly ash,Process heat,power plant ash,heat
CEMENTIR,Edison power station,Coal fly ash,Process heat,power plant ash,heat
CEMENTIR,Taranto,Coal fly ash,Cooling;Heat,power plant ash,heat
CEMENTIR,ND - Electricity production - Organic Rankine Cycle,Coal fly ash,Process heat,power plant ash,heat
CEMENTIR,ND - Agroindustry,Coal fly ash,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,power plant ash,fertilizer
CEMENTIR,Enipower power station,Coal fly ash,Fuel,ash waste,biofuels
CEMENTIR,Enipower power station,Coal fly ash,Fuel,incineration fly ash,biofuels
CEMENTIR,Enipower power station,Coal fly ash,Fuel,charcoal production residues,bioenergy
CEMENTIR,ND - Road construction,Coal fly ash,Paving,municipal solid waste ash,concrete
CEMENTIR,ND - Production of concrete,Coal fly ash,Raw material for Production of concrete,municipal solid waste ash,concrete
CEMENTIR,ND - Construction materials production,Coal fly ash,Raw material for Construction materials production,fluidized bed fly ash,building materials
CEMENTIR,ND - Road construction,Coal fly ash,Raw materials,fluidized bed fly ash,building materials
CEMENTIR,ND - Agroindustry,Coal fly ash,Fertilizer,coal,biochar
CEMENTIR,CEMENTIR,Coal fly ash,Raw material for Cement production,coal,feedstock for cement clinker production
CEMENTIR,ND - Production of concrete,Coal fly ash,Raw material for Production of concrete,coal,feedstock for cement clinker production
CEMENTIR,ND - Road construction,Coal fly ash,Raw materials,coal,recovered materials
CEMENTIR,ND - Road construction,Coal fly ash,Paving,coal gangue,concrete
CEMENTIR,ND - Production of concrete,Coal fly ash,Raw material for Production of concrete,coal gangue,concrete
CEMENTIR,ND - Production of bricks,Coal fly ash,Raw material for Production of bricks,coal gangue,bricks
CEMENTIR,ND - Agroindustry,Coal fly ash,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,coal gangue,fertilizer
CEMENTIR,ND - Road construction,Coal fly ash,Paving,blast furnace slag,concrete
CEMENTIR,ND - Production of concrete,Coal fly ash,Raw material for Production of concrete,blast furnace slag,concrete
CEMENTIR,ND - Production of bricks,Coal fly ash,Raw material for Production of bricks,blast furnace slag,bricks
CEMENTIR,ND - Agroindustry,Coal fly ash,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,blast furnace slag,fertilizer
CEMENTIR,ND - Agroindustry,Coal fly ash,Fertilizer,blast furnace slag,zeolite
CEMENTIR,ND - Road construction,Coal fly ash,Paving,blast furnace slag,pavement granules
CEMENTIR,ND - Construction materials production,Coal fly ash,Raw material for Construction materials production,blast furnace slag,value-added construction materials
CEMENTIR,ND - Construction materials production,Coal fly ash,Raw material for Construction materials production,blast furnace slag,building materials
CEMENTIR,ND - Road construction,Coal fly ash,Raw materials,blast furnace slag,building materials
CEMENTIR,ND - Construction materials production,Coal fly ash,Raw material for Construction materials production,blast furnace slag,construction materials
CEMENTIR,ND - Road construction,Coal fly ash,Raw materials,blast furnace slag,construction materials
CEMENTIR,ND - Glass and glass-ceramic production,Coal fly ash,Raw material for Glass and glass-ceramic production,blast furnace slag,transparent glass
