donor,receiver,P_wastes,P_resources,G_waste,G_resource
Enipower power station,Enipower power station,Electricity,Fuel;Water,batteries,hydrogen
Enipower power station,ENI refinery,Electricity,Water,batteries,hydrogen
Enipower power station,ND - Road construction,Electricity,Raw materials,batteries,metals
Enipower power station,ND - Road construction,Electricity,Raw materials,energy consumption,minerals
Enipower power station,ND - Agroindustry,Electricity,Fertiliser;Fertilizer,energy consumption,biofertilizer
Enipower power station,Enipower power station,Electricity,Fuel,energy consumption,bioenergy
Enipower power station,Enipower power station,Electricity,Fuel,energy consumption,biofuels
Enipower power station,ND - Road construction,Electricity,Raw materials,household electrical appliances,secondary raw materials
Enipower power station,ND - Distilleries,Electricity,Raw material for Distilleries,household electrical appliances,secondary raw materials
Enipower power station,ND - Road construction,Electricity,Raw materials,household electrical appliances,metals
Enipower power station,Enipower power station,Electricity,Fuel,energy,energy resources
Enipower power station,ENI refinery,Electricity,Process energy,energy,energy resources
Enipower power station,ILVA,Electricity,Process energy,energy,energy resources
Enipower power station,Edison power station,Electricity,Process energy,energy,energy resources
Enipower power station,CEMENTIR,Electricity,Process energy,energy,energy resources
Enipower power station,EniPower power station,Electricity,Process energy,energy,energy resources
Enipower power station,ENI refinery,Electricity,Process energy,energy,usable energy
Enipower power station,ILVA,Electricity,Process energy,energy,usable energy
Enipower power station,Edison power station,Electricity,Process energy,energy,usable energy
Enipower power station,CEMENTIR,Electricity,Process energy,energy,usable energy
Enipower power station,EniPower power station,Electricity,Process energy,energy,usable energy
Enipower power station,ENI refinery,Electricity,Process energy,energy,energy recovery
Enipower power station,ILVA,Electricity,Process energy,energy,energy recovery
Enipower power station,Edison power station,Electricity,Process energy,energy,energy recovery
Enipower power station,CEMENTIR,Electricity,Process energy,energy,energy recovery
Enipower power station,EniPower power station,Electricity,Process energy,energy,energy recovery
Enipower power station,ND - Road construction,Electricity,Raw materials,energy,recovered materials
Enipower power station,Enipower power station,Electricity,Fuel,energy,energy efficiency
Enipower power station,ND - Agroindustry,Electricity,Fertilizer,energy,compost
Enipower power station,ND - Road construction,Electricity,Raw materials,electrical and electronic equipment,recycled materials
Enipower power station,ND - Road construction,"Sea and well water, condensing vapour",Raw materials,saline water,chemical products
Enipower power station,Enipower power station,"Sea and well water, condensing vapour",Water,saline water,clean water
Enipower power station,ENI refinery,"Sea and well water, condensing vapour",Water,saline water,clean water
Enipower power station,Enipower power station,"Sea and well water, condensing vapour",Fuel,saline water,biofuels
Enipower power station,ND - Agroindustry,"Sea and well water, condensing vapour",Fertilizer,saline water,biogas
Enipower power station,Enipower power station,"Sea and well water, condensing vapour",Fuel,saline water,biodiesel
Enipower power station,ND - Road construction,"Sea and well water, condensing vapour",Paving,seawater,concrete
Enipower power station,ND - Production of concrete,"Sea and well water, condensing vapour",Raw material for Production of concrete,seawater,concrete
Enipower power station,Enipower power station,"Sea and well water, condensing vapour",Fuel,water vapor,value-added fuels
Enipower power station,ND - Agroindustry,"Sea and well water, condensing vapour",Fertilizer,water vapor,biochar
Enipower power station,Enipower power station,"Sea and well water, condensing vapour",Fuel,water vapor,solid fuel
ENI refinery,Enipower power station,Fuel oil,Water,oils,clean water
ENI refinery,ENI refinery,Fuel oil,Water,oils,clean water
ENI refinery,Enipower power station,Fuel oil,Fuel,oils,biodiesel
ENI refinery,Enipower power station,Fuel oil,Fuel,oils,biofuels
ENI refinery,ND - Road construction,Fuel oil,Raw materials,oils,recovered materials
ENI refinery,Enipower power station,Fuel oil;Waste heat,Fuel,waste oil,biodiesel
ENI refinery,ND - Road construction,Fuel oil;Waste heat,Raw materials,waste oil,chemical products
ENI refinery,Enipower power station,Fuel oil;Waste heat,Fuel,waste oil,crude oil
ENI refinery,ND - Road construction,Fuel oil;Waste heat,Raw materials,waste oil,recycled materials
ENI refinery,Enipower power station,Fuel oil;Fuel gas,Fuel,fossil fuel diesel,biofuels
ENI refinery,Enipower power station,Fuel oil;Fuel gas,Fuel;Water,synthetic gas,hydrogen
ENI refinery,ENI refinery,Fuel oil;Fuel gas,Water,synthetic gas,hydrogen
ENI refinery,ND - Agroindustry,Fuel oil;Fuel gas,Fertilizer,synthetic gas,ammonia nitrogen
ENI refinery,ND - Agroindustry,Fuel oil,Fertilizer,used cooking oil,biochar
ENI refinery,Enipower power station,Fuel oil,Fuel,used cooking oil,biodiesel
ENI refinery,Enipower power station,Fuel oil,Fuel,used cooking oil,crude oil
ENI refinery,Enipower power station,Fuel oil,Fuel,heating oil,ethanol
ENI refinery,ND - Agroindustry,Fuel oil,Fertilizer,petroleum-derived products,biochar
ENI refinery,ND - Construction materials production,Fuel oil,Raw material for Construction materials production,petroleum-derived products,building materials
ENI refinery,ND - Road construction,Fuel oil,Raw materials,petroleum-derived products,building materials
ENI refinery,ND - Agroindustry,Fuel oil,Fertilizer,hydrocarbons,biogas
ENI refinery,Enipower power station,Fuel oil,Fuel,hydrocarbons,biofuels
ENI refinery,Enipower power station,Fuel oil,Fuel,hydrocarbons,biodiesel
ENI refinery,Enipower power station,Fuel oil;Fuel gas,Fuel,biomass fuel,chemical fuels
ENI refinery,Enipower power station,Fuel oil;Fuel gas,Fuel;Water,fossil fuel,hydrogen
ENI refinery,ENI refinery,Fuel oil;Fuel gas,Water,fossil fuel,hydrogen
