donor,receiver,P_wastes,P_resources,G_waste,G_resource
Enipower power station,ND - Road construction,Electricity,Raw materials,batteries,waste-derived materials
Enipower power station,Enipower power station,Electricity,Fuel;Water,batteries,hydrogen
Enipower power station,ENI refinery,Electricity,Water,batteries,hydrogen
Enipower power station,ND - Road construction,Electricity,Raw materials,batteries,metals
Enipower power station,ND - Road construction,Electricity,Raw materials,energy waste,food products
Enipower power station,Enipower power station,Electricity,Fuel,energy waste,biogas
Enipower power station,ND - Agroindustry,Electricity,Fertiliser;Fertilizer,energy waste,biogas
Enipower power station,Enipower power station,Electricity,Water,energy consumption,minerals
Enipower power station,ENI refinery,Electricity,Water,energy consumption,minerals
Enipower power station,ND - Road construction,Electricity,Raw materials,energy consumption,minerals
Enipower power station,ND - Agroindustry,Electricity,Fertilizer,energy consumption,minerals
Enipower power station,ND - Glass and glass-ceramic production,Electricity,Raw material for Glass and glass-ceramic production,energy consumption,silica
Enipower power station,ND - Agroindustry,Electricity,Fertiliser;Soil quality improvement and fertiliser;Fertilizer,energy consumption,biofertilizer
Enipower power station,Enipower power station,Electricity,Fuel,energy consumption,bioenergy
Enipower power station,ENI refinery,Electricity,Process energy,energy consumption,bioenergy
Enipower power station,ILVA,Electricity,Process energy,energy consumption,bioenergy
Enipower power station,Edison power station,Electricity,Process energy,energy consumption,bioenergy
Enipower power station,CEMENTIR,Electricity,Process energy,energy consumption,bioenergy
Enipower power station,EniPower power station,Electricity,Process energy,energy consumption,bioenergy
Enipower power station,Enipower power station,Electricity,Fuel,energy consumption,biofuels
Enipower power station,ENI refinery,Electricity,Process energy,energy consumption,biofuels
Enipower power station,ILVA,Electricity,Process energy,energy consumption,biofuels
Enipower power station,Edison power station,Electricity,Process energy,energy consumption,biofuels
Enipower power station,CEMENTIR,Electricity,Process energy,energy consumption,biofuels
Enipower power station,ND - Agroindustry,Electricity,Fertilizer,energy consumption,biofuels
Enipower power station,EniPower power station,Electricity,Process energy,energy consumption,biofuels
Enipower power station,Enipower power station,Electricity,Fuel,energy consumption,oil consumption
Enipower power station,Taranto,Electricity,Cooling,energy consumption,energy savings
Enipower power station,ND - Agroindustry,Electricity,Fertilizer,coal,biochar
Enipower power station,Enipower power station,Electricity,Fuel,coal,electricity
Enipower power station,ND - Road construction,Electricity,Road foundations,coal,stabilised soil layer
Enipower power station,ND - Agroindustry,Electricity,Soil quality improvement and fertiliser,coal,stabilised soil layer
Enipower power station,ND - Agroindustry,Electricity,Fertilizer,coal,calcium carbonate
Enipower power station,CEMENTIR,Electricity,Raw material for Cement production,coal,feedstock for cement clinker production
Enipower power station,ND - Construction materials production,Electricity,Raw material for Construction materials production,coal,feedstock for cement clinker production
Enipower power station,ND - Road construction,Electricity,Raw materials,coal,feedstock for cement clinker production
Enipower power station,ND - Production of refractories,Electricity,Raw material for Production of refractories,coal,feedstock for cement clinker production
Enipower power station,ND - Production of concrete,Electricity,Raw material for Production of concrete,coal,feedstock for cement clinker production
Enipower power station,ND - Road construction,Electricity,Raw materials,coal,recovered materials
Enipower power station,Enipower power station,Electricity,Fuel,coal,heavy oil
Enipower power station,ND - Road construction,Electricity,Raw materials,machinery,recycled materials
Enipower power station,ND - Road construction,Electricity,Raw materials,machinery,reused materials
Enipower power station,Enipower power station,Electricity,Water,machinery,toxic elements
Enipower power station,ENI refinery,Electricity,Water,machinery,toxic elements
Enipower power station,ND - Agroindustry,Electricity,Fertilizer,machinery,lead
